cust_id,gender,age_group,age,nationality,segment,duration,city,district,owns_house,owns_car,marital_status,no_of_kids,profession,profession_subclass,uses_branch,uses_CDM,uses_credit_card,uses_debit_card,uses_ATM,uses_mobile_and_online_banking,income,credit_score,no_of_branch_txn,no_of_cdm_txn,no_of_atm_txn,no_of_cc_txn,no_of_dc_txn,no_of_online_txn,max_txn_cat1,max_txn_cat2,max_txn_cat3,no_of_txn_cat1,no_of_txn_cat2,no_of_txn_cat3,amt_spent_cat1,amt_spent_cat2,amt_spent_cat3,total_no_of_txn,amt_in_sav_acc,max_amt_in_sav_acc,amt_in_curr_acc,max_amt_in_curr_acc,no_of_debits_sav_acc,no_of_debits_curr_acc,no_of_yearly_txn,credit_cards,loans,insurance,accounts_and_deposits
C10000,Male,>60,74,Ugandan,Gold,5,Lira,Lira,0,1,Widowed,2,Lawyer,Senior Legal Advisor,1,0,0,0,1,0,4610595,681,9,2,9,2,2,1,Airlines,Hobby,Dining,18,18,15,110006,56498,42313,25,256970,674926,1088237,1206638,6,14,2,"['Total BankBuddy Bank Credit Card', 'SouthWest BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Select Titanium', 'Uber BankBuddy Credit Card']","['home loan', 'health loan']","['medical insurance', 'retirement insurance']","['savings account', 'no minimum balance', 'securities account']"
C10001,Female,30-39,34,Ugandan,Silver,10,Mbarara,Mbarara,0,0,Single,1,Lawyer,Internship Legal Officer,0,0,0,0,1,0,2850549,629,1,2,12,3,2,2,Bills,Dining,Golf,18,9,9,90775,62595,58496,22,188105,317929,884122,901152,7,20,1,"['Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['furniture loan', 'car loan']","['device cover insurance', 'maternity insurance']","['salary account', 'fixed deposit', 'securities account']"
C10002,Male,>60,81,Ugandan,Private,10,Nansana,Wakiso,1,0,Widowed,0,Lawyer,C-Level Executive,0,0,0,0,0,0,873795,818,3,1,2,1,2,1,Utilities,Travel,Airlines,42,36,18,135026,91453,59308,10,1317264,1318521,540003,1143622,8,12,0,"['Infinite Credit Card', 'Diners Club Privilege Credit Card', 'Corporate Premium Credit Card', 'Emirates BankBuddy Bank Platinum', 'Diners Club Premium Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance']",['no minimum balance']
C10003,Female,40-49,43,Ugandan,Silver,7,Mukono Town,Mukono,1,1,Married,1,Lawyer,Private Practice,0,0,0,0,0,0,1745637,669,1,1,1,1,3,3,Groceries,Entertainment,Utilities,24,24,12,93345,36622,36104,10,105546,370844,166712,712902,5,12,0,"['Best Price Save Max Credit Card', 'Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']","['home loan', 'furniture loan', 'health loan']",['health insurance'],"['savings account', 'salary account']"
C10004,Male,20-29,20,Ugandan,Gold,14,Lira,Lira,0,0,Single,0,Lawyer,Clerkship,0,0,1,1,0,0,2652212,548,1,2,3,24,27,3,Ecommerce,International Airlines,Dining,27,27,24,103169,57964,52967,60,460297,550579,515498,897382,5,26,5,"['Total BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Platinum', 'Uber BankBuddy Credit Card']","['home loan', 'education loan', 'furniture loan']",['travel insurance'],['salary account']
C10005,Male,50-59,53,Ugandan,Private,4,Nansana,Wakiso,0,1,Widowed,0,Lawyer,C-Level Executive,0,0,0,0,1,0,764644,769,2,1,27,1,2,3,Golf,Home,Dining,36,36,12,560205,101138,47255,36,631510,1086110,211844,1396284,9,13,3,"['Infinite Credit Card', 'Superia Credit Card', 'Visa Signature Credit Card', 'Emirates BankBuddy Bank Platinum', 'Diners Club Premium Credit Card', 'All Miles Credit Card']","['home loan', 'health loan']","['travel insurance', 'retirement insurance']","['salary account', 'fixed deposit']"
C10006,Male,50-59,58,Ugandan,Silver,10,Masindi,Masindi,0,0,Divorced,0,Lawyer,C-Level Executive,0,0,0,0,0,0,1725952,501,3,1,2,3,2,1,Travel,Hobby,Entertainment,15,9,6,64960,35450,28395,12,483185,483356,274111,546392,7,15,0,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['car loan', 'health loan']","['senior health insurance', 'retirement insurance', 'health insurance']","['savings account', 'fixed deposit', 'securities account']"
C10007,Male,<20,18,Ugandan,Silver,1,Mityana,Mityana,1,1,Single,0,Lawyer,Law Student,0,0,0,1,0,0,3099,165,3,2,1,2,3,1,Travel,Dining,Domestic Airlines,15,9,9,41129,35882,29522,12,31411,120902,60330,245739,3,6,0,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']","['laptop loan', 'student loan']",['education insurance'],['term account']
C10008,Male,30-39,30,Ugandan,Gold,9,Kira Town,Wakiso,1,0,Married,3,Lawyer,Clerkship,0,0,1,1,0,0,3358158,912,1,2,2,9,27,2,Golf,Utilities,International Airlines,15,15,12,166192,149571,69802,43,646267,723462,112024,1428452,9,14,4,"['Emirates BankBuddy Bank Select Titanium', 'Total BankBuddy Bank Credit Card', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['construction loan', 'home loan']","['device cover insurance', 'maternity insurance']","['savings account', 'salary account', 'securities account']"
C10009,Female,50-59,59,Ugandan,Silver,1,Mukono Town,Mukono,1,0,Married,0,Lawyer,Senior Legal Advisor,0,0,0,0,1,0,2567820,813,2,2,12,1,2,2,Home,Dining,Golf,27,27,24,59319,39374,32559,21,411081,499645,776516,966410,10,12,1,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card']",['health loan'],"['travel insurance', 'senior health insurance', 'health insurance']","['savings account', 'salary account', 'fixed deposit']"
C10010,Female,50-59,54,Ugandan,Silver,9,Kira Town,Wakiso,0,0,Divorced,0,Lawyer,Senior Legal Advisor,0,1,1,1,0,0,2490047,614,2,12,2,21,18,1,Utilities,Entertainment,Groceries,27,18,15,84261,43779,24236,56,115192,377572,386189,387334,5,10,5,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['car loan', 'health loan']","['medical insurance', 'retirement insurance']","['savings account', 'salary account']"
C10011,Female,>60,67,Ugandan,Silver,0,Jinja,Jinja,1,1,Divorced,1,Lawyer,C-Level Executive,0,1,0,0,1,0,2075178,626,3,21,9,2,2,1,Golf,Utilities,Groceries,21,15,6,89474,68862,28105,38,236451,434769,525096,848924,8,18,3,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']",['health loan'],"['medical insurance', 'retirement insurance']","['no minimum balance', 'securities account']"
